pid,female,age,us_citizen,bachelor,wage,hours_worked,income,renter,rent
1,1,22,1,0,1000,18,NA,0,NA
2,0,46,1,1,20000,50,NA,0,NA
3,0,51,1,0,15600,80,NA,0,NA
4,0,18,1,0,600,4,NA,0,NA
5,0,20,1,0,5400,6,NA,0,NA
6,0,19,1,0,600,4,NA,0,NA
7,1,18,1,0,1000,5,NA,0,NA
8,0,18,1,0,2500,16,NA,0,NA
9,0,19,1,0,600,4,NA,0,NA
10,0,20,1,0,21000,40,NA,0,NA
11,1,22,1,0,8000,5,NA,0,NA
12,1,18,1,0,1000,5,NA,0,NA
13,1,19,1,0,1300,15,NA,0,NA
14,0,19,1,0,600,4,NA,0,NA
15,0,21,0,0,21000,40,NA,0,NA
16,0,19,0,0,1300,8,NA,0,NA
17,0,44,1,0,18600,80,NA,0,NA
18,0,18,1,0,1300,8,NA,0,NA
19,0,24,1,0,42000,46,NA,0,NA
20,0,18,1,0,1300,8,NA,0,NA
21,0,22,1,0,7000,20,NA,0,NA
22,0,44,1,0,18600,80,NA,0,NA
23,0,20,1,0,1500,7,NA,0,NA
24,1,19,1,0,1000,4,NA,0,NA
25,1,19,0,0,1000,5,NA,0,NA
26,0,46,1,1,20000,50,NA,0,NA
27,1,21,1,0,1500,30,NA,0,NA
28,0,32,1,1,27000,40,NA,0,NA
29,0,19,0,0,1300,8,NA,0,NA
30,0,20,1,0,1500,7,NA,0,NA
31,1,57,1,0,25000,40,NA,0,NA
32,0,77,1,1,10800,35,NA,0,NA
33,1,18,1,0,2500,8,NA,0,NA
34,1,18,1,0,1000,5,NA,0,NA
35,0,20,1,0,5400,6,NA,0,NA
36,1,47,1,0,26000,12,NA,0,NA
37,1,18,1,0,6000,20,NA,0,NA
38,1,20,0,0,4500,10,NA,0,NA
39,0,55,1,0,11500,20,NA,0,NA
40,1,18,1,0,9000,30,NA,0,NA
41,1,19,1,0,5000,18,NA,0,NA
42,0,22,1,0,5400,6,NA,0,NA
43,1,21,1,0,5000,20,NA,0,NA
44,1,18,1,0,1000,5,NA,0,NA
45,1,18,1,0,7000,20,NA,0,NA
46,0,22,1,0,25200,40,NA,0,NA
47,1,22,1,0,5000,20,NA,0,NA
48,0,21,1,0,5400,6,NA,0,NA
49,0,18,1,0,3900,12,NA,0,NA
50,0,24,1,0,30000,40,NA,0,NA
51,1,18,1,0,4100,20,NA,0,NA
52,0,22,0,0,21000,40,NA,0,NA
53,1,18,1,0,1000,5,NA,0,NA
54,0,21,1,0,21000,40,NA,0,NA
55,0,19,1,0,2500,15,NA,0,NA
56,0,53,1,0,15600,80,NA,0,NA
57,0,21,1,0,5000,22,NA,0,NA
58,0,21,1,0,2500,5,NA,0,NA
59,0,27,1,1,38000,40,NA,0,NA
60,1,19,1,0,1000,5,NA,0,NA
61,1,25,1,0,24000,40,NA,0,NA
62,0,19,0,0,1300,8,NA,0,NA
63,0,20,0,0,21000,40,NA,0,NA
64,1,18,1,0,7000,20,NA,0,NA
65,1,55,1,0,31100,40,NA,0,NA
66,1,21,1,0,7000,30,NA,0,NA
67,0,21,1,0,5400,6,NA,0,NA
68,0,55,1,0,11500,20,NA,0,NA
69,1,19,1,0,4700,20,NA,0,NA
70,0,51,1,0,15600,80,NA,0,NA
71,1,54,1,0,15000,20,NA,0,NA
72,1,19,1,0,7000,20,NA,0,NA
73,0,19,1,0,600,4,NA,0,NA
74,0,57,1,1,28800,40,NA,0,NA
75,1,18,1,0,7000,20,NA,0,NA
76,1,22,1,0,5000,12,NA,0,NA
77,0,22,0,1,2500,7,NA,0,NA
78,0,24,1,0,48000,70,NA,0,NA
79,0,30,1,0,18600,80,NA,0,NA
80,0,20,1,0,3500,20,NA,0,NA
81,0,22,1,0,25600,38,NA,0,NA
82,1,20,1,0,8000,5,NA,0,NA
83,0,53,1,0,15600,80,NA,0,NA
84,1,23,1,0,8000,5,NA,0,NA
85,1,44,1,0,6000,12,NA,0,NA
86,0,20,1,0,5400,6,NA,0,NA
87,1,20,1,0,8800,25,NA,0,NA
88,1,26,1,0,24000,40,NA,0,NA
89,0,21,0,0,10000,20,NA,0,NA
90,0,22,0,0,5000,22,NA,0,NA
91,0,18,1,0,5000,15,NA,0,NA
92,0,21,1,0,5400,6,NA,0,NA
93,0,20,1,0,1500,7,NA,0,NA
94,1,19,1,0,9000,30,NA,0,NA
95,0,20,1,0,5400,6,NA,0,NA
96,0,46,1,1,20000,50,NA,0,NA
97,0,24,0,1,28000,40,NA,0,NA
98,0,20,1,0,5500,20,NA,0,NA
99,0,61,1,1,23400,50,NA,0,NA
100,0,51,1,0,15600,80,NA,0,NA
101,0,22,1,0,21000,40,NA,0,NA
102,1,34,0,0,12000,60,NA,0,NA
103,0,18,1,0,2500,16,NA,0,NA
104,1,20,0,0,4500,10,NA,0,NA
105,0,18,0,0,1300,8,NA,0,NA
106,1,19,1,0,2600,3,NA,0,NA
107,1,19,1,0,7000,20,NA,0,NA
108,0,21,1,0,640,24,NA,0,NA
109,0,20,1,0,13000,40,NA,0,NA
110,0,24,1,0,34000,40,NA,0,NA
111,0,22,1,0,5400,6,NA,0,NA
112,0,20,0,0,1100,9,NA,0,NA
113,1,47,1,0,26000,12,NA,0,NA
114,0,18,1,0,5000,15,NA,0,NA
115,1,18,1,0,7600,8,NA,0,NA
116,1,20,1,0,5000,20,NA,0,NA
117,0,21,1,0,6200,6,NA,0,NA
118,1,18,1,0,7000,20,NA,0,NA
119,1,42,0,0,460,4,NA,0,NA
120,0,19,1,0,600,4,NA,0,NA
121,1,63,1,1,100000,50,NA,0,NA
122,0,19,1,0,2900,3,NA,0,NA
123,1,19,1,0,840,4,NA,0,NA
124,0,20,1,0,37300,60,NA,0,NA
125,1,57,1,0,5100,20,NA,0,NA
126,1,47,1,0,26000,12,NA,0,NA
127,0,20,1,0,3000,10,NA,0,NA
128,0,37,1,0,27000,60,NA,0,NA
129,1,20,1,0,5000,12,NA,0,NA
130,0,19,1,0,1000,7,NA,0,NA
131,1,63,1,1,100000,50,NA,0,NA
132,0,21,1,0,5400,6,NA,0,NA
133,0,18,1,0,1300,8,NA,0,NA
134,0,51,1,0,15600,80,NA,0,NA
135,1,20,1,0,8000,5,NA,0,NA
136,1,22,1,0,6000,99,NA,0,NA
137,0,22,1,0,13000,40,NA,0,NA
138,1,19,1,0,1000,5,NA,0,NA
139,0,51,1,0,15600,80,NA,0,NA
140,1,18,1,0,7000,20,NA,0,NA
141,0,57,1,1,28800,40,NA,0,NA
142,1,19,1,0,1000,5,NA,0,NA
143,0,21,1,0,21000,40,NA,0,NA
144,0,20,1,0,8000,15,NA,0,NA
145,0,20,1,0,1500,7,NA,0,NA
146,0,25,1,0,500,32,NA,0,NA
147,0,20,1,0,12000,30,NA,0,NA
148,0,20,1,0,5400,6,NA,0,NA
149,0,21,1,0,1500,7,NA,0,NA
150,1,34,0,0,12000,60,NA,0,NA
151,0,20,1,0,5400,6,NA,0,NA
152,0,32,1,1,27000,40,NA,0,NA
153,0,18,0,0,1300,8,NA,0,NA
154,0,18,1,0,700,15,NA,0,NA
155,1,19,0,0,1200,5,NA,0,NA
156,1,19,1,0,7000,20,NA,0,NA
157,1,19,1,0,100,16,NA,0,NA
158,0,20,1,0,8000,15,NA,0,NA
159,1,19,1,0,7000,20,NA,0,NA
160,0,21,1,0,26000,30,NA,0,NA
161,0,51,1,0,24000,40,NA,0,NA
162,0,27,1,0,24000,30,NA,0,NA
163,0,19,0,0,1300,8,NA,0,NA
164,1,18,1,0,7000,20,NA,0,NA
165,1,18,1,0,1000,5,NA,0,NA
166,0,20,1,0,12000,30,NA,0,NA
167,1,19,0,0,1000,5,NA,0,NA
168,0,19,1,0,600,4,NA,0,NA
169,0,77,1,1,10800,35,NA,0,NA
170,1,19,1,0,1300,15,NA,0,NA
171,0,57,1,1,28800,40,NA,0,NA
172,1,18,1,0,1000,5,NA,0,NA
173,0,77,1,1,10800,35,NA,0,NA
174,0,18,1,0,1300,8,NA,0,NA
175,1,18,1,0,1000,5,NA,0,NA
176,0,18,1,0,2000,20,NA,0,NA
177,1,19,1,0,25800,50,NA,0,NA
178,0,27,1,0,23000,30,NA,0,NA
179,0,18,1,0,2600,35,NA,0,NA
180,0,19,1,0,1300,8,NA,0,NA
181,0,21,0,0,10000,20,NA,0,NA
182,0,46,1,1,20000,50,NA,0,NA
183,0,20,1,0,5000,22,NA,0,NA
184,0,20,1,0,5400,6,NA,0,NA
185,0,53,1,0,15600,80,NA,0,NA
186,0,18,1,0,1300,8,NA,0,NA
187,1,21,1,0,8000,30,NA,0,NA
188,0,20,1,0,1500,7,NA,0,NA
189,0,19,0,0,1300,8,NA,0,NA
190,0,18,1,0,1300,8,NA,0,NA
191,0,20,1,0,1100,9,NA,0,NA
192,0,44,1,0,18600,80,NA,0,NA
193,0,21,1,0,5000,22,NA,0,NA
194,0,22,1,0,5400,6,NA,0,NA
195,0,37,0,1,25000,40,NA,0,NA
196,0,21,1,0,21000,40,NA,0,NA
197,0,21,1,0,640,24,NA,0,NA
198,1,19,0,0,1000,5,NA,0,NA
199,1,55,1,0,31000,40,NA,0,NA
200,1,21,1,0,10000,12,NA,0,NA
201,1,73,1,0,20500,25,NA,0,NA
202,0,45,0,1,32000,45,NA,0,NA
203,1,18,1,0,4100,20,NA,0,NA
204,1,20,1,0,7000,30,NA,0,NA
205,0,20,1,0,1100,9,NA,0,NA
206,0,18,1,0,1300,8,NA,0,NA
207,0,21,1,0,26000,30,NA,0,NA
208,0,21,1,0,21000,40,NA,0,NA
209,0,21,1,0,650,10,NA,0,NA
210,1,20,1,0,9000,30,NA,0,NA
211,0,31,1,0,10000,15,NA,0,NA
212,0,19,1,0,600,4,NA,0,NA
213,1,20,1,0,5000,20,NA,0,NA
214,0,22,1,0,13000,40,NA,0,NA
215,1,19,1,0,7000,20,NA,0,NA
216,1,21,1,0,5000,20,NA,0,NA
217,1,18,1,0,6300,24,NA,0,NA
218,0,19,1,0,600,4,NA,0,NA
219,0,20,0,0,10000,20,NA,0,NA
220,0,20,1,0,5400,6,NA,0,NA
221,0,30,1,0,10000,15,NA,0,NA
222,1,20,1,0,10000,20,NA,0,NA
223,0,18,1,0,600,4,NA,0,NA
224,0,57,0,0,20300,80,NA,0,NA
225,1,22,1,0,1000,18,NA,0,NA
226,0,20,0,0,1100,9,NA,0,NA
227,0,22,1,0,29000,25,NA,0,NA
228,0,19,1,0,5800,6,NA,0,NA
229,1,35,1,0,36000,60,NA,0,NA
230,0,20,1,0,5400,6,NA,0,NA
231,1,23,1,0,15500,35,NA,0,NA
232,1,19,1,0,1000,5,NA,0,NA
233,1,18,1,0,1000,5,NA,0,NA
234,0,18,0,0,1300,8,NA,0,NA
235,1,73,1,0,20500,25,NA,0,NA
236,1,73,1,0,20500,25,NA,0,NA
237,0,18,1,0,600,4,NA,0,NA
238,1,42,0,0,460,4,NA,0,NA
239,1,18,1,0,1200,3,NA,0,NA
240,1,19,1,0,7000,20,NA,0,NA
241,1,63,1,1,100000,50,NA,0,NA
242,0,29,1,1,38000,40,NA,0,NA
243,0,18,1,0,1300,8,NA,0,NA
244,1,21,1,0,5000,12,NA,0,NA
245,0,57,1,0,680,15,NA,0,NA
246,1,34,0,0,12000,60,NA,0,NA
247,0,18,1,0,600,4,NA,0,NA
248,1,18,0,0,7000,20,NA,0,NA
249,0,20,1,0,10000,20,NA,0,NA
250,1,18,1,0,6200,20,NA,0,NA
251,0,20,1,0,3000,22,NA,0,NA
252,1,18,1,0,4100,20,NA,0,NA
253,0,21,1,0,5000,10,NA,0,NA
254,0,30,1,0,18600,80,NA,0,NA
255,0,20,1,0,5400,6,NA,0,NA
256,0,32,1,1,27000,40,NA,0,NA
257,0,24,0,1,28000,40,NA,0,NA
258,0,19,0,0,1300,8,NA,0,NA
259,0,18,1,0,1300,8,NA,0,NA
260,1,19,1,0,4500,30,NA,0,NA
261,1,21,1,0,24000,45,NA,0,NA
262,0,19,1,0,550,15,NA,0,NA
263,1,57,1,0,25000,40,NA,0,NA
264,0,22,1,0,5400,6,NA,0,NA
265,1,21,1,0,10400,20,NA,0,NA
266,1,21,1,0,5000,20,NA,0,NA
267,0,20,1,0,8000,15,NA,0,NA
268,1,18,1,0,1000,5,NA,0,NA
269,1,44,1,0,6000,12,NA,0,NA
270,0,20,0,0,1100,9,NA,0,NA
271,0,18,0,0,1300,8,NA,0,NA
272,0,20,1,0,8000,15,NA,0,NA
273,0,21,1,0,5400,6,NA,0,NA
274,1,21,0,0,9900,17,NA,0,NA
275,1,18,1,0,1000,5,NA,0,NA
276,0,26,1,1,35000,38,NA,0,NA
277,0,25,1,0,6600,8,NA,0,NA
278,0,24,0,1,30000,30,NA,0,NA
279,0,46,1,1,20000,50,NA,0,NA
280,0,21,1,0,5400,6,NA,0,NA
281,1,19,1,0,1300,15,NA,0,NA
282,0,21,1,0,900,20,NA,0,NA
283,0,23,0,0,5000,15,NA,0,NA
284,0,19,0,0,600,4,NA,0,NA
285,1,18,0,0,7000,20,NA,0,NA
286,1,19,0,0,1000,5,NA,0,NA
287,1,19,1,0,1000,18,NA,0,NA
288,0,20,1,0,5400,6,NA,0,NA
289,1,19,0,0,1000,5,NA,0,NA
290,1,18,1,0,1000,5,NA,0,NA
291,1,19,1,0,100,16,NA,0,NA
292,1,21,1,0,8000,30,NA,0,NA
293,1,20,1,0,3000,24,NA,0,NA
294,0,20,1,0,21000,40,NA,0,NA
295,0,22,0,0,5000,22,NA,0,NA
296,0,21,1,0,3400,12,NA,0,NA
297,0,29,1,1,38000,40,NA,0,NA
298,0,18,1,0,600,4,NA,0,NA
299,0,23,1,0,1500,7,NA,0,NA
300,1,19,0,0,1000,5,NA,0,NA
301,0,21,1,0,5400,6,NA,0,NA
302,0,53,1,0,15600,80,NA,0,NA
303,1,19,1,0,7000,20,NA,0,NA
304,0,20,0,0,21000,40,NA,0,NA
