record_id,municipality_name,construction_cost,units,fees,square_feet,volume
89042692,CARTERET,3563225,54,87800,15117,755503
10000018,CRANBURY,150500,1,4407,3293,62859
10000019,CRANBURY,150500,1,4332,3293,62859
10000046,CRANBURY,150500,1,5329,3106,88521
10000049,CRANBURY,150500,1,3231,2272,42789
10000053,CRANBURY,150501,1,5429,3106,88521
10000059,CRANBURY,150500,1,5419,3106,88521
10000060,CRANBURY,150500,1,5309,3106,88521
10000063,CRANBURY,150500,1,5339,3106,88521
10000101,CRANBURY,150500,1,2946,2029,36184
10000111,CRANBURY,150500,1,5504,3160,88521
10000112,CRANBURY,150500,1,4669,3169,69644
10000113,CRANBURY,265250,1,5504,3106,88521
10000115,CRANBURY,150500,1,4342,3293,62859
10000137,CRANBURY,150500,1,2821,2029,36184
10000139,CRANBURY,150500,1,5219,3106,88521
10000141,CRANBURY,150500,1,5289,3106,88521
10000161,CRANBURY,320000,1,1353,3316,29660
10000162,CRANBURY,150500,1,5534,3106,88521
10000163,CRANBURY,150500,1,4332,3298,62859
10000164,CRANBURY,150500,1,4092,3293,62859
10000165,CRANBURY,150500,1,4262,3293,62859
10000166,CRANBURY,150500,1,4629,3169,69644
10000196,CRANBURY,150500,1,4494,3169,69644
10000198,CRANBURY,150500,1,5279,3106,88521
10000205,CRANBURY,150500,1,2701,2029,36184
10000220,CRANBURY,150500,1,3091,2272,42789
10000222,CRANBURY,150500,1,3857,3293,62859
10000224,CRANBURY,150500,1,5279,3106,88521
10000226,CRANBURY,150500,1,4464,3169,69644
10000243,CRANBURY,150500,1,4389,3169,69644
10000244,CRANBURY,151750,1,4412,3292,62859
10000246,CRANBURY,151750,1,4512,3293,62859
10000247,CRANBURY,150500,1,4502,3293,62859
10000248,CRANBURY,150500,1,4432,3293,62859
10000249,CRANBURY,150500,1,3416,2272,42789
10000278,CRANBURY,150500,1,3191,2272,42789
10000280,CRANBURY,150500,1,5349,3106,88521
10000306,CRANBURY,150500,1,4534,3169,69644
10000321,CRANBURY,150500,1,4514,3169,69644
10000323,CRANBURY,150500,1,5279,3106,88521
10000339,CRANBURY,150500,1,3116,2029,36184
10000340,CRANBURY,150500,1,4213,3106,57826
10000342,CRANBURY,150500,1,5474,3106,88521
10000343,CRANBURY,150503,1,3246,2272,42789
10000344,CRANBURY,150500,1,5364,3106,88521
10000373,CRANBURY,150500,1,3001,2272,42789
10000375,CRANBURY,150500,1,4247,3293,62859
10000377,CRANBURY,150500,1,4207,3293,62859
10000409,CRANBURY,150500,1,4719,3169,69644
10000411,CRANBURY,150500,1,4492,3272,62859
10000416,CRANBURY,150500,1,4177,3293,62859
